title,label
The Colbert Report,real
Lance Armstrong's defiant Twitter photo shows him relaxing with seven yellow jerseys,fake
TSA: Frequently Asked Questions,real
"Haiti Official Getting Ready To Testify Against Clinton Foundation Corruption NEXT WEEK, Found DEAD With “Gunshot to the head”",fake
Pope says that the rights of Muslim migrants trump any safety concerns that you might have with them in your country,fake
ни чего нового как правильно,fake
Teamsters Tout ANWR on Capitol Hill,real
Senate Report Admits Clinton ‘Gifted’ Children To Human Traffickers,fake
Hurricane Irene: ‘Photo’ of shark swimming in street is fake,fake
WATCH FULL Ted Cruz presser on new deal with Kasich (UPDATE: PART TWO ADDED),real
 accessed Aug 11,fake
The Democratic Debate in Cleveland,real
Miley Cyrus: 'Donald Trump Is a F--king Nightmare',fake
OBAMA’S PRIVATE ‘SECURITY’ COMPANY SETS UP MASSIVE CAMPS OUTSIDE 3 MAJOR CITIES,fake
BREAKING: Mike Huckabee Just Fired!,fake
Organizing for Action,real
Transcript of AP interview with Trump,real
UPDATE: Van Full Of Illegals Caught Voting At Multiple Alabama Polling Locations,fake
Crime in Chicago: Explore your community,real
Top Presidential Candidate 2008 Websites,real
John Hagee discusses Catholic Church,real
Maxine Waters Is Getting Criminally Charged!,fake
Political TV Ad Archive » PolAd,real
2007 Federal Tax Rate Schedules,real
Remarks by the President at AFL CIO Labor Day Picnic,real
"As Dems’ “Stimulus” Anniversary Nears, Americans Ask: “Where are the Jobs?”",real
MoveOn.org Political Action: 10 things to know about McCain,real
China's Space Threat: How Missiles Could Target U.S. Satellites,real
Sarah Palin on Twitter,real
And we pay her a salary!.... - Judge Jeanine Pirro has Fans,fake
LISTEN: Curious Robocall Seeks 'Damaging' Information on Moore,fake
"Rick Santorum: By amending constitution, we can balance the budget for good",real
Clinton Email: We Must Destroy Syria For Israel,fake
'This Week' Transcript: Kaine and Steele,real
"Transcript: The Democratic debate in Milwaukee, annotated",real
testimony submitted to the Congressional Oversight Panel’s hearing on the TARPs impact on financial stability,real
United States Department of Defense,real
"Barack Obama Tweets SICK Attack On John McCain, Says He Should Have Died",fake
Town Hall Meeting in Derry NH,real
"Japanese Whaling Crew Eaten Alive By Killer Whales, 16 dead",fake
Already a lost decade: Working-age household income down more than 10% since 2000,real
U.N. Official 'Accidentally' Crushes Own Throat Right Before Testifying Against Hillary Clinton,fake
U.S. Senate: U.S. Senate Roll Call Votes 105th Congress,real
Obama’s Health Care Speech to Congress,real
"Remarks by the President at Campaign Event -- Colorado Springs, CO",real
Florida passes bill legalizing recreational use of marijuana,fake
REMARKS BY THE PRESIDENT AND FIRST LADY AT A CAMPAIGN EVENT,real
Transcripts,real
JUST IN: WaPo Reporter Who Broke News On Judge Roy Moore Story Has A Criminal History Of “Faking” * 100PercentFedUp.com,fake
UF requests to cancel Rivalry game against FSU,fake
"DONALD TRAIN NEWS: BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump",fake
Take action,real
Obama’s Prime-Time Press Briefing,real
Obama Administration Kept Illegal Mexican Kids In Detention Camps As “Experiment”,fake
Browse Congressional Bills,real
"Bill Clinton Says He 'Never Said A Bad Word About Senator Obama,' At mtvU's First 'Editorial Board'",real
spreadsheet with key indicators from OECD Health Data 2009 health care expenditures per capita,real
BREAKING: Laura Ingraham Just Fired!!,fake
Social Security Trustees Report 2007,real
'This Week' Transcript: Former Vice President Dick Cheney,real
Marco Rubio says Ted Cruz voted for defense cuts in Rand Paul's budget proposal,real
Donald Trump signs a visa-free travel policy for Ghana,fake
Pastors To Protest IRS Rules on Political Advocacy,real
"Singer Dolly Parton: “Trump In One Year Is Already Better Than 16 Years’ of Bush, Obama ‘Put Together’, This Stupid Liberals Doing Everything To Impeach Him But We Standing With Trump now And Forever.",fake
Obama’s Remarks at the White House Health Care Forum,real
"Executive Order Leads to Capture of ISIS Leader, Rasheed Muhammad",fake
"NRA President Jim Porter Falsely Accused of Saying, “It’s Only A Matter Of Time Before We Can Own Colored People Again”",fake
Tulsa School closes after brutal fire.,fake
"To young people who are undocumented: This is your country, too.",real
The Kardashians donate whopping sum to Las Vegas mass shooting victims,fake
"Scott Baio, Beloved Face Of Conservatism, Dies In Small Plane Crash On His Way To Visit Trump",fake
Gore looking to turn idle fans into activists 3year ad campaign will feature enemies united on climate,real
"Melania Trump: ‘If ISIS Lay A Finger On Barron, I’ll Scratch Obama’s Eyes Out’",fake
There’s another choice – Gov. Gary Johnson – Medium,real
LexisNexis(R) Publisher,real
CPD: 2008 Debate Transcript,real
Oscar Pistorius Attempts To Commit Suicide,fake
"S.1591 - 104th Congress (1995-1996): A bill to prohibit campaign expenditures for services of lobbyists, and for other purposes.",real
Ron Paul Praises Embattled RNC Chief Michael Steele For Leadership On Afghanistan,real
Mike Pence: “Allowing Rape Victims To Have Abortions Will Lead To Women Trying To Get Raped”,fake
Facebook Picks Sides in Alabama Senate Race=> Shuts Down Gateway Pundit and Breitbart Reports on Discredited Allred Accuser,fake
Texas law enforcement officer fatally shot upon arriving for work by 3 Muslim refugee. Do you support to deport them?,fake
Web Ad A Tale of Two Mitts,real
FDA Announced That Vaccines Are Causing Autism,fake
Fox News Sunday,real
"300,000 Pounds of Counterfeit Rat Meat Has Been Sold as Chicken Wings in The U.S.",fake
BREAKING: Fox Star Tucker Carlson In Critical Condition After Head On Collision Driving Home,fake
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Paul Ryan: “Donald Trump Plans To Resign From Office Within The Next 30 Days”,fake
Rep Poe Interviewed on Fox Business Network,real
BREAKING: Leaked Picture Of Obama Being Dragged Before A Judge In Handcuffs For Wiretapping Trump,fake
Survey Results from Hays Research Group,real
Colorado Rockies Baseball Team To Sell Marijuana Brownies At Their Concession Stands,fake
Obama Exclusive Concedes Senate Voteainst Raising Debt Limit Was Political,real
 Wake Up America,fake
Nexis®: Sign In,real
Barack Obama Challenges John McCain To Duel Over Taxes,real
"No, Sandra Bullock didn't disparage Hillary Clinton",fake
Clinton campaign’s claim that Trump would ‘force schools to allow guns in classrooms’,real
'This Week' Transcript: Target Libya,real
BREAKING: Rosa Parks’ Daughter Praises Trump’s Response to Charlottesville – forfreedomworld,fake
Remarks by the President in Twitter Town Hall,real
Fox News Sunday,real
9 celebrities who say they'll move to Canada if Donald Trump becomes president,fake
"Police Officers, Firefighters and Others Get Hit with Tax Penalty",fake
"At Trump hotel site, immigrant workers wary",real
Summing Summertime: Part 4,real
Memorial Day,real
"Impact of Senator Obama's Tax Proposals as Described by Economic Advisors on Workers, Distribution of Federal Tax Change by Cash Income Percentile, 2009",real
Press release AIG Discloses Counterparties to CDS GIA and Securities Lending Transactions,real
H.R.1025 - 103rd Congress (1993-1994): Brady Handgun Violence Prevention Act,real
Kurt Russel Just SHOWED Overpaid Celebs It’s Time To Shut Up About Trump – Hits Them Where It Hurts!,fake
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
U.S. Senate: U.S. Senate Roll Call Votes 103rd Congress,real
'This Week' Transcript: Holder and Giuliani,real
Democratic National Convention Committee,real
Barack Obama says U.S. oil production last year was highest since 2003,real
Transcript: House Majority Leader Boehner on 'FNS',real
Strong Words in Ohio as Obama and Clinton Press On,real
John Hagee Calls For “Prosecuting Women Who Say God’s Name During Intercourse”,fake
Impeachment Talk Becomes a Cynical Game,real
Sale of the Etch A Sketch Brand,real
letter filed on behalf of Sen Barack Obama and the Obama Exploratory Committee,real
URGENT: proposed law would charge protesters with terrorism,fake
Births: Preliminary Data for 2005,real
"BREAKING: Barron Trump Rushed To The Hospital, Hospital Releases Statement On His Condition",fake
Obama Criticizes McCain on Lobbyists,real
Remarks by the President at CNBC Town Hall Discussion on Jobs,real
JUST IN: Barack Obama ARRESTED in a Japanese Drug Bust,fake
Remarks of Senator Barack Obama An Agenda for MiddleClass Success,real
The Democratic Debate in Cleveland,real
Republican response to President Barack Obamas Weekly radio address,real
DEA Just Raided A United States Senator,fake
Sen. Sanders warns of ‘frightening trend’ towards oligarchy,real
TRUMP WANTS TO DEPORT AMERICAN INDIANS TO INDIA,fake
The full transcript of the third presidential debate,real
Arizona Department of Public Safety,real
Gross Domestic Product Percent change from preceding period,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
The Fact Hub,real
Rockefeller: An Opportunity We Cant Pass Up,real
Full Interview Transcript: President Barack Obama,real
The Obameter: Introduce a comprehensive immigration bill in the first year,real
"Trump asking Congress, not Mexico, to pay for border wall",real
Israel should welcome Rouhani's election victory,real
Schneiderman suing Trump over DACA cites 'discriminatory animus',real
"Georgia Mosque KEEPS Hurricane Harvey Donations, Will Send To Syrian Refugees Instead",fake
The Committee on Energy and Commerce,real
"BREAKING: Trump fires Deputy Attorney General Rod Rosenstein, raising questions over Mueller’s fate",fake
BREAKING: 60 People Just Found Dead In Ohio,fake
Transcript: Blue-Ribbon Panel on Health Care,real
BREAKING: Hillary Clinton Killed In Monster Truck Mishap,fake
Police Discover Meth Lab In Back Room of Alabama Walmart,fake
Information for the Nation,fake
Buzz Aldrin ‘passes UFO lie detector test leaving experts convinced that he encountered alien life’,fake
deputy director of national health statistics in the Office of the Actuary at the Center for Medicare and Medicaid Services,real
Local News Headlines Hawaii,real
"NFL Lawyer, Who Claimed Super Bowl Is ‘Rigged’, Found Dead",fake
Obama Goes To G20 Summit,fake
Reps Cummings and Cole Interviewed on MSNBC,real
Prince William May Not Attend Royal Wedding Leaving Harry Without a Best Man; Princess Diana Would Not Be Happy,fake
The numbers don't lie... - Occupy Democrats,fake
2011 Urban InstituteBrookings Institution Tax Policy Center,real
Obama addresses key concerns for Floridians,real
Noted and Quoted,real
"IMPEACHMENT HINT STIRS HOUSE CLASH; Democratic Orators Spring to Roosevelt Defense, Charging 'Malice.'",real
Neon Nettle,fake
BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs,fake
Congressman Allen West : Final Weekly Wrapup,real
LexisNexis(R) Publisher,real
What Carly is doing tonight – Carly Fiorina – Medium,real
Situation Syria Regional Refugee Response,real
BREAKING: Supreme Court Issues Its First Bench Warrant Ever,fake
John McCain,real
25th Amendment,real
a professor of American Studies at Lynn University,real
"Preliminary Analysis of the Chairman’s Mark for the America’s Healthy Future Act, as Amended",real
Trump Nation,fake
Let’s Not Be Civil,real
"'This Week' Transcript: Madeleine Albright, Sen. Lindsey Graham, Sen. Kent Conrad and David Cote",real
Renewing Americas Promise,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
BREAKING: President Trump Signs Executive Order Stripping NFL Of ‘Non-Profit’ Status,fake
National Federation of Independent Business,real
Part I: CNN/YouTube Democratic presidential debate transcript,real
Political TV Ad Archive » PolAd,real
"DNC’s Donna Brazile Dedicated Her Book to ‘Patriot’ Seth Rich, Whose Death Made Her Fear for Her Own Life",fake
H1N1 vaccinations to be offered to Guantanamo Bay detainees,real
CNN host Fareed Zakaria calls for jihad rape of white women,fake
"If Democrats Lose, Blame These Guys",real
Joint DHS and ODNI Election Security Statement,real
Alabama football Crimson Tide disqualified from national championship,fake
Kerry-McCain: Welcome To Massachusetts!,real
3/8/14 Sen. Rob Portman (R-OH) delivers Weekly GOP Address on American jobs,real
Interview with Rudy Giuliani,real
Obama Announces Bid To Become UN Secretary General – Usa News,fake
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
WORSE THAN HITLER! Trey Gowdy’s Son Found In A Dumpster In DC! Murders Are Being Questioned!,fake
'This Week' Transcript: Biden,real
BREAKING: President Trump Just Told Paul Ryan ‘You’re Fired’,fake
"THIS IS AMAZING: In 1984, the New York Times said Trump would be our BEST president…They forgot…..",fake
BREAKING: Monica Lewinsky Found Dead In Roslindale,fake
BREAKING: 3 Liberal Celebrities Arrested For Conspiracy To Assassinate President Trump,fake
Rand Paul: Will Donald Trump betray voters by hiring John Bolton?,real
Jeb Bush 2016 Same Resume Right to Rise USA PAC,real
U.S. Senate: U.S. Senate Roll Call Votes 110th Congress,real
Pope Calls for World Wide Gun Confiscation Except for the UN,fake
Laguna Beach Antifa 22m David Hogg Didn't Attend Parkland High School I Went to School With Him at Redondo Shores High School in California and He Graduated in 2015 Here He Is in Our Yearbook From 201,fake
JEFFERSON DAVIS STATUE TO BE REPLACED WITH OBAMA LIKENESS,fake
Memory Lapse? Trump Seeks Distance From 'Advisor' With Past Ties to Mafia,real
Monthly Treasury Statement of Receipts and Outlays of the United States Government,real
Report on Geithners tax issues,real
REPORT: Kim Jong Un Killed In Trump’s Overnight Black Op Attack On North Korea -,fake
Food Standards and Labeling Policy Book,real
"Senator Biden’s Remarks in Springfield, Ill.",real
Application for ‘March For Our Lives’ permit was made months before Parkland school shooting,fake
Expanding Opportunity — #KempForum16 – Paul Ryan – Medium,real
Youngest World Leader Bans George Soros’s Foundations From Austria,fake
The latest political news and headlines from D.C. and beyond,real
Testimony on CBO’s Assessment of the Air Force’s Plan to Acquire 100 Boeing Tanker Aircraft,real
Average cable TV bill cited in article on industry study,real
Transcripts,real
Putin says: ‘Pope Francis Is Not A Man Of God’ | Must-See !!,fake
Regular Session Senate Transcript,real
State of the Union 2013,real
Social Security Online History Pages,real
Updated: The Facts About Hillary Clinton’s Emails,real
BOMBSHELL!! Obama Paid FBI Informant Over $1 MILLION To Do It To Trump! EVEN AFTER THE ELECTION!,fake
Robert Redford Says: Michelle And Barack Obama Should Get Five Years In Prison,fake
Trump on Revamping the Military: We’re Bringing Back the Draft,fake
Summary of the Affordable Care Act,real
Account Suspended,fake
UPDATE: Second Roy Moore Accuser Works For Michelle Obama Right NOW -,fake
"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",real
Florida Democrats Ask HHS to Protect Floridians from High Insurance Premiums in Marketplace,real
'This Week' Transcript: Hillary Clinton,real
Remarks by the President on the American Jobs Act,real
"Switchboard, from NRDC :: Barbara Finamore's Blog :: China’s Carbon Intensity Target",real
Losing Ground Foreclosures in the Subprime Market and Their Cost to Homeowners,real
Washington State Legislature votes to change its name because George Washington owned Slaves,fake
CBOs Estimate of the Effects on Direct Spending and Revenues of the House Amendments to the Senate Amendments to HR 976 the Childrens Health Insurance Program Reauthorization Act of 2007,real
"New Star Wars Movie Filming Near Rosenberg, Texas, Large Number of Extras Needed – WBN 12 News",fake
Border Security The Role of the US Border Patrol,real
Political TV Ad Archive » PolAd,real
Former presidents walk fine line in Trump’s America,fake
Breaking News: FBI Uncovers Evidence That 62 Million Trump Voters are All Russian Agents,fake
"Everything you need to know about the drone debate, in one FAQ",real
The Legislative Process,fake
HillaryClinton.com,real
A Solar Grand Plan: Scientific American,real
 If You Are Using This Toothpaste… Throw It Away Immediately Nov 28,fake
FrontPage Magazine,real
BREAKING ObamaLed UN Has Just Made It Official US To Immediately Pay Blacks ‘Reparations’,fake
‘Smallville’ Star Confesses She Sold Children To Rothschilds And Clintons,fake
"""One Hundred Percent"" by Club for Growth Action",real
"The pro-Russia, pro-weed, pro-Assange GOP congressman who will be tough to beat",fake
White House Chef Quits Because Trump Has Only Eaten Fast Food For 6 Months,fake
ABC News: ABC News,real
U.S. Senate: U.S. Senate Roll Call Votes 111th Congress,real
Statement by the President,real
CHIP Enrollment: June 2011 Data Snapshot,real
Poverty 2005 Highlights,real
"""New Energy"" Ad",real
“Put Palin’s WolfKilling Record on Television”,real
Trump on Prejean: Same as Obama,real
Biden raises possibility of 2020 presidential bid,fake
"Pope Francis At Mass: ‘Jesus Is Metaphorical, Not Literal’",fake
Family Policy Alliance,real
Rule by Rentiers,real
Country of Origin Labeling (COOL),real
Forget Kiev. The Real Fight Will Be for Crimea,real
A comprehensive investigation of voter impersonation finds 31 credible incidents out of one billion ballots cast,real
 Breaking President Trump makes English the official language of the United States,fake
"Obama Urges Bernanke, Paulson to Fight Foreclosures, Hold Homeownership Summit",real
"Author Offers Insights on Slavery, the Capitol, and Obama's Inauguration",real
"Penniless California issues IOUs to firms, clinics, taxpayers and students",real
Trump Orders 13 Obama Deep State Operatives Arrested For Treason,fake
Trump Removing Marines From the Navy,fake
Ohio student suspended for staying in class during National Walkout Day,fake
GDP and the Economy Final Estimates for the Third Quarter of 2007,real
Redirect Notice,real
Morgue employee cremated by mistake while taking a nap,fake
Breaking: Mar-A-Lago Destroyed By Irma-Jared Kushner Still Missing,fake
"ISIS Lays Down Arms After Katy Perry’s Impassioned Plea To ‘Like, Just Co-Exist’",fake
Spicer: “Trump Has The Legal Right To Cancel SCOTUS Because They Serve At His Pleasure”,fake
Trump's Tough Talk on Hedge-Fund Taxes Doesn't Match His Plan,real
Twitter Caught Leaking Donald Trump's Private Messages in Undercover Sting,fake
"McConnell, Webb, Jindal express uncertainty over Iran nuclear deal",real
Uniform Crime Reports,real
McCain: McSame as Bush,real
Public Citizen,real
Texas church shooter was a militant atheist,fake
U.S. Senator John McCain,real
Individual Income Tax Returns Publication 1304 (Complete Report),real
comments at the CNN Republican presidential debate in Las Vegas,real
Justice Department Memos on Interrogation Techniques,real
"'This Week' Transcript: Hoyer, Boehner and Bill Gates",real
Donald Trump Dead From A Fatal HEART ATTACK! — Steemit,fake
Economy Protect Homeownership and Crack Down on Mortgage Fraud,real
Flake: “Religious tests should have no place in the Senate”,real
Could Trump Win The Nobel Peace Prize? Peace in Korean Peninsula Would Be Significant Foreign Policy Achievement,fake
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
"Donald Trump, Billy Bush: Interview Scrambles Race",real
interview with Bloomberg television,real
President Trump Just Saved Christmas For 13 Million Retirees,fake
Student Hasn't Stopped Filming Since Florida School Shooting,fake
TRUMP APPROVAL RATING Better than Obama and Reagan at Same Point in their Presidencies,fake
Chuck Schumers Steamy Affair With A High School Cheerleader Confirmed,fake
Giuliani in New Hampshire,real
Las Vegas Shooting Witnesses Report Multiple Gunmen Dressed as Security Guards Oct 3 2017,fake
Krugman calls Senate health care bill similar to law in Massachusetts,real
Stop Coddling the Super-Rich,real
'This Week' Transcript: Geithner,real
Political TV Ad Archive » PolAd,real
"New York Officials Welcome Immigrants, Legal or Illegal",real
Peanut Product Recall Took Company Approval,real
Remarks by the President at the Associated Press Luncheon,real
"The CNN Miami Republican debate transcript, annotated",real
"Table of Known Nuclear Tests Worldwide, 1945-1996",real
"NYC: PHYSICIAN and Wife Jump To Death…Leave Kids Behind Because They “Can’t Afford The Health Care” Only Hours After McCain, Murkowski, Collins and EVERY Democrat Voted To Keep Obamacare -",fake
"First family visits D.C. shelter, highlights homeless veterans’ plight",fake
BREAKING: Sasha Obama Just Crashed Her Expensive New Car Into A Lake,fake
Bill Gates Outlines 2018 Plan To Depopulate The Planet,fake
FindArticles.com,real
A Preliminary Analysis of the President’s Budget and an Update of CBO’s Budget and Economic Outlook,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Iraq pullout could create chaos,real
"Carolyn B. Maloney on Twitter: ""Women's health & wellbeing don’t seem to count in the math of the GOP's merciless #PayMoreForLess healthcare bill. We must not defund @PPFA!… https:",real
Trump’s Top Scientist Pick: “Scientists Are Just Dumb Regular People That Think Dinosaurs Existed And The Earth Is Getting Warmer”,fake
"Remarks by the President on the Economy -- Knox College, Galesburg, IL",real
"Hillary Rodham Clinton, Senator for New York: Schumer, Clinton Announce Key Senate Panel Approves Over $1.3 Million for Labor, Health and Human Services Projects in the Hudson Valley",real
HRC Caught On Tape Laughing About Irma Wiping Out All Of Those Florida Hillbillies,fake
TG-162: Treasury Announces $68 Billion in Expected CPP Repayments,real
President Trump Underscores US-Jamaica Relations,fake
"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",real
MoveOn.org Political Action: 10 things to know about McCain,real
Melania Trump undergoes kidney surgery at Walter Reed medical center,fake
Interest Group Ratings,real
International Energy Statistics,real
"Department of Homeland Security Appropriations Act, 2007 (2006; 109th Congress H.R. 5441)",real
The Republican Road to Recovery,real
Hillary Clinton Transcript: Read Full Text of Clinton Campaign Launch,real
Action for 25th Legislature,real
Illinois General Assembly,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
San Juan City Council Votes Unanimously To Impeach Trump-Hating Mayor,fake
Meet Barack Obama,real
Chinese Lunar Rover Finds No Evidence Of American Moon Landings,fake
Broward County Sheriff Fired For Lying About Parkland,fake
JUST IN TODAY: Trey Gowdy Is The NEW DIRECTOR Of The FBI!,fake
Trump Vows to End Winter Heating Assistance for Elderly and Disabled – Our Voice,fake
Virginia Republican Wants Schools To Check Children's Genitals Before Using Bathroom,fake
Romney campaign ad,real
Infrastructure Report Card 2005,real
STUNNING! Democrats BOO and GROAN at Trump Mention of Murder Victims of MS-13 Killers (VIDEO),fake
REP. JENKINS: OPIOID CRISIS FUNDING SHOULD BE BASED ON NEED,real
